food_name,category,calories,protein_g,carbs_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,meal_type,water_ml,calorie_category,health_score
Saffron (pinch in risotto),condiment,1,0.0,0.1,0.0,0.0,0.0,0,0,dinner,0,low,42.3
Panettone (1 slice),dessert,320,6.0,50.0,12.0,3.0,25.0,200,70,snack,0,high,36.6
Candied Fruit (1 tbsp),fruit,30,0.0,8.0,0.0,0.5,8.0,5,0,snack,0,low,38.1
Amaretti Cookie (2 cookies),dessert,90,2.0,12.0,4.0,1.0,10.0,10,0,snack,0,low,41.6
Limoncello (1.5 oz shot),beverage,150,0.0,18.0,0.0,0.0,18.0,0,0,snack,0,medium,28.3
Panna Cotta (1 serving),dessert,300,4.0,25.0,20.0,0.0,22.0,50,70,snack,0,high,26.6
Berry Coulis (1 tbsp),condiment,20,0.0,5.0,0.0,0.5,4.5,0,0,snack,0,low,40.9
Saltimbocca (1 serving),meal/meat,380,38.0,5.0,22.0,0.5,1.0,850,120,dinner,0,high,77.9
Prosciutto (1 slice wrapper),protein/meat,35,4.0,0.0,2.5,0.0,0.0,280,10,dinner,0,low,41.8
Sage (2 leaves),condiment,1,0.0,0.1,0.0,0.1,0.0,0,0,dinner,0,low,42.8
Polenta (grilled 1 slice),meal/grain,120,2.5,25.0,1.0,2.0,0.5,300,0,dinner,0,medium,47.5
Caponata (1/2 cup),meal/vegetable,180,2.0,15.0,14.0,5.0,9.0,400,0,dinner,0,medium,50.4
Eggplant (1/2 cup in caponata),vegetable,40,0.5,6.0,2.0,2.0,3.0,150,0,dinner,0,low,45.8
Pine Nuts (1/2 tbsp),nut,48,1.0,1.0,5.0,0.2,0.2,0,0,dinner,0,low,44.6
Raisins (1 tbsp),fruit,27,0.3,7.0,0.0,0.3,6.0,1,0,dinner,0,low,39.4
Gelato (Pistachio 1/2 cup),dessert,220,5.0,24.0,12.0,2.0,20.0,60,40,snack,0,medium,39.5
Waffle Cone (1 small),grain,70,1.0,13.0,1.5,0.5,7.0,30,5,snack,0,low,39.6
Cacio e Pepe (1.5 cups),meal/pasta,500,18.0,65.0,19.0,4.0,3.0,700,50,dinner,0,very_high,66.7
Pecorino Romano (1/4 cup),dairy,110,7.5,1.0,8.5,0.0,0.0,450,25,dinner,0,medium,42.7
Black Pepper (1/2 tsp),condiment,3,0.1,0.7,0.0,0.3,0.0,0,0,dinner,0,low,43.7
Fiorentina Steak (3oz portion),protein/meat,230,24.0,0.0,15.0,0.0,0.0,60,75,dinner,0,medium,74.6
Rosemary (garnish),condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,dinner,0,low,42.8
White Beans (Tuscan style 1/2 cup),legume,150,8.0,20.0,4.0,7.0,2.0,350,0,dinner,0,medium,74.8
Garlic (1 clove in beans),vegetable,4,0.2,0.9,0.0,0.1,0.0,1,0,dinner,0,low,43.0
Sage (in beans),condiment,1,0.0,0.1,0.0,0.1,0.0,0,0,dinner,0,low,42.8
Arancini (1 large ball),snack/processed,250,9.0,30.0,10.0,3.0,3.0,500,30,snack,0,medium,53.9
Ragù (filling 1 tbsp),condiment,25,1.5,1.0,1.5,0.5,0.5,60,5,snack,0,low,44.8
Mozzarella (filling 0.5 oz),dairy,40,3.0,0.5,3.0,0.0,0.2,75,10,snack,0,low,44.7
Breadcrumbs (coating),grain,25,0.5,4.0,0.5,0.5,0.5,50,0,snack,0,low,43.7
Campari & Soda (1 drink),beverage,85,0.0,10.0,0.0,0.0,10.0,25,0,snack,150,low,34.0
Olive (garnish),fruit,5,0.0,0.1,0.5,0.1,0.0,30,0,snack,0,low,42.1
Vitello Tonnato (1 serving),meal/meat,380,35.0,3.0,25.0,0.5,1.0,600,110,lunch,0,high,79.3
Tuna Sauce (2 tbsp),condiment,100,4.0,1.0,9.0,0.0,0.5,200,15,lunch,0,medium,43.0
Capers (garnish),condiment,2,0.2,0.4,0.1,0.3,0.1,200,0,lunch,0,low,39.4
Lemon Slice (garnish),condiment,1,0.0,0.3,0.0,0.1,0.1,0,0,lunch,0,low,42.7
Gnocchi alla Sorrentina (1.5 cups),meal/pasta,450,15.0,60.0,18.0,6.0,9.0,800,40,dinner,0,high,64.0
Tomato Sauce (1/2 cup),condiment,40,1.5,7.0,1.0,2.0,4.0,350,0,dinner,0,low,42.1
Mozzarella (1 oz melted),dairy,80,6.0,1.0,6.0,0.0,0.5,150,20,dinner,0,low,46.9
Basil (fresh garnish),condiment,1,0.1,0.0,0.0,0.1,0.0,0,0,dinner,0,low,42.9
Pesto (1/4 cup),condiment,290,5.0,4.0,29.0,2.0,1.0,600,5,dinner,0,medium,44.1
Pine Nuts (1 tbsp in pesto),nut,95,2.0,2.0,10.0,0.5,0.5,0,0,dinner,0,low,47.2
Garlic (1/2 clove in pesto),vegetable,2,0.1,0.5,0.0,0.0,0.0,0,0,dinner,0,low,42.5
Trofie Pasta (1 cup cooked),grain,210,7.0,43.0,1.0,2.0,1.0,5,0,dinner,0,medium,60.8
Green Beans (1/2 cup w/ pasta),vegetable,15,0.9,3.5,0.1,1.3,1.6,3,0,dinner,0,low,47.9
Potato (1/2 w/ pasta),vegetable,65,1.0,15.0,0.1,1.0,0.5,3,0,dinner,0,low,47.6
Espresso Martini (1 drink),beverage,280,0.5,25.0,0.0,0.0,25.0,5,0,snack,120,medium,23.5
Vodka (1.5 oz),beverage,97,0.0,0.0,0.0,0.0,0.0,0,0,snack,0,low,42.3
Coffee Liqueur (1 oz),beverage,100,0.0,15.0,0.0,0.0,15.0,2,0,snack,0,medium,30.6
Espresso (1 oz in drink),beverage,3,0.3,0.0,0.1,0.0,0.0,1,0,snack,0,low,42.8
Simple Syrup (1/2 oz),condiment,30,0.0,8.0,0.0,0.0,8.0,0,0,snack,0,low,36.1
Coffee Beans (3 garnish),snack,2,0.1,0.3,0.0,0.1,0.0,0,0,snack,0,low,42.9
Baba Ganoush (1/4 cup),meal/vegetable,100,2.0,8.0,7.0,4.0,2.0,300,0,snack,0,medium,54.0
Pita Bread (1 white),grain,165,5.5,33.0,1.2,1.5,1.5,310,0,snack,0,medium,49.1
Falafel (3 pieces),meal/vegetarian,180,6.0,18.0,9.0,4.0,1.0,320,0,lunch,0,medium,60.6
Tahini Sauce (1 tbsp),condiment,30,1.0,1.5,2.5,0.5,0.0,45,0,lunch,0,low,45.0
Pickled Turnips (2 tbsp),vegetable,10,0.2,2.0,0.0,0.5,1.0,200,0,lunch,0,low,39.5
Shawarma (Chicken 1 wrap),meal/processed,550,30.0,50.0,25.0,6.0,5.0,1100,80,lunch,250,very_high,81.8
Garlic Sauce (1 tbsp),condiment,90,0.1,1.0,10.0,0.0,0.5,80,5,lunch,0,low,40.1
Hummus (1/4 cup),legume,130,5.0,10.0,8.0,4.0,1.0,250,0,lunch,0,medium,60.6
Tabouli (1/2 cup),meal/vegetarian,120,3.0,15.0,6.0,4.0,2.0,300,0,lunch,0,medium,55.5
Bulgur (1/4 cup in tabouli),grain,76,2.7,16.8,0.2,4.1,0.1,4,0,lunch,0,low,63.6
Parsley (1/4 cup in tabouli),vegetable,5,0.3,1.0,0.1,0.5,0.1,5,0,lunch,0,low,44.7
Mint (1 tbsp in tabouli),condiment,1,0.1,0.1,0.0,0.1,0.0,0,0,lunch,0,low,42.9
Lemon Juice (1 tbsp dressing),condiment,4,0.1,1.3,0.0,0.1,0.2,0,0,lunch,0,low,42.8
Olive Oil (1 tbsp dressing),condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,lunch,0,medium,42.3
Kibbeh (1 piece fried),meal/meat,230,9.0,20.0,13.0,3.0,1.0,450,30,snack,0,medium,56.6
Pine Nuts (1/2 tbsp filling),nut,48,1.0,1.0,5.0,0.2,0.2,0,0,snack,0,low,44.6
Ground Lamb (1 oz filling),protein/meat,80,5.5,0.0,6.0,0.0,0.0,20,20,snack,0,low,49.4
Bulgur (1 tbsp shell),grain,15,0.5,3.4,0.0,0.8,0.0,1,0,snack,0,low,46.4
Lentil Soup (1 cup Middle Eastern),meal/legume,200,10.0,30.0,5.0,10.0,4.0,700,0,lunch,250,medium,81.1
Cumin (1 tsp),condiment,8,0.3,1.5,0.5,0.4,0.1,3,0,lunch,0,low,44.3
Coriander (1 tsp),condiment,5,0.1,1.0,0.2,0.5,0.0,1,0,lunch,0,low,44.6
Lemon Juice (1 tsp in soup),condiment,1,0.0,0.4,0.0,0.0,0.1,0,0,lunch,0,low,42.3
Pita Crisps (1 oz),snack/processed,130,3.0,18.0,5.0,2.0,1.0,240,0,lunch,0,medium,49.3
Manakeesh (Za'atar 1 small),meal/vegetarian,300,7.0,45.0,10.0,4.0,2.0,500,0,breakfast,0,high,57.3
Za'atar (1 tbsp),condiment,40,1.0,3.0,3.0,1.5,0.0,150,0,breakfast,0,low,46.8
Olive Oil (1 tbsp on bread),condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,breakfast,0,medium,42.3
Labneh (2 tbsp),dairy,60,4.0,2.0,4.0,0.0,2.0,80,15,breakfast,0,low,44.5
Cucumber (1/4 cup side),vegetable,8,0.3,1.8,0.0,0.2,0.8,1,0,breakfast,0,low,43.0
Tomato (1/4 cup side),vegetable,8,0.3,1.8,0.1,0.5,1.2,2,0,breakfast,0,low,43.9
Olives (5 side),fruit,35,0.2,1.0,3.5,0.5,0.0,210,0,breakfast,0,low,40.1
Mint Tea (1 cup),beverage,2,0.1,0.5,0.0,0.0,0.0,5,0,breakfast,240,low,42.4
Stuffed Grape Leaves (3 pcs),meal/vegetarian,150,3.0,20.0,7.0,3.0,3.0,400,0,snack,0,medium,48.3
Rice (1/4 cup filling),grain,51,1.1,11.1,0.1,0.1,0.0,0,0,snack,0,low,44.5
Turkish Coffee (1 small cup),beverage,5,0.2,0.5,0.0,0.0,0.0,1,0,snack,60,low,42.6
Cardamom (in coffee),condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,snack,0,low,42.8
Shish Tawook (2 skewers),meal/meat,300,35.0,5.0,16.0,1.0,2.0,600,100,dinner,0,high,81.1
Garlic Sauce (Toum 1 tbsp),condiment,90,0.1,1.0,10.0,0.0,0.5,80,5,dinner,0,low,40.1
French Fries (side),vegetable/processed,340,4.0,44.0,17.0,4.0,0.3,230,0,dinner,0,high,60.0
Pickled Cucumber (1/4 cup),vegetable,10,0.5,2.0,0.0,1.0,1.0,300,0,dinner,0,low,39.8
Fattoush Salad (1.5 cups),meal/vegetarian,250,5.0,25.0,15.0,6.0,5.0,500,0,lunch,0,medium,60.2
Fried Pita (1/2 pita in salad),grain,80,2.0,12.0,3.0,1.0,0.5,150,0,lunch,0,low,45.9
Sumac (1/2 tsp dressing),condiment,5,0.1,1.0,0.2,0.5,0.0,1,0,lunch,0,low,44.6
Pomegranate Molasses (1 tsp),condiment,15,0.0,4.0,0.0,0.0,4.0,0,0,lunch,0,low,39.2
