food_name,category,calories,protein_g,carbs_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,meal_type,water_ml,calorie_category,health_score,food_name_id
Prosciutto (1 slice),protein/meat,35,4.0,0.0,2.5,0.0,0.0,280,10,dinner,0,low,41.8,Prosciutto (1 iris)
Asparagus (6 spears roasted),vegetable,40,4.0,4.0,2.0,3.0,2.0,150,0,dinner,0,low,56.2,Asparagus (6 spears panggang)
Hollandaise Sauce (1 tbsp),condiment,55,0.5,0.2,6.0,0.0,0.1,75,25,dinner,0,low,40.1,Hollandaise Sauce (1 tbsp)
Flan (1 slice),dessert,220,6.0,35.0,7.0,0.0,33.0,80,90,snack,0,medium,19.4,Flan (1 iris)
Caramel Sauce (1 tbsp),condiment,60,0.0,13.0,1.0,0.0,12.0,30,5,snack,0,low,32.0,Caramel Sauce (1 tbsp)
Congee (1 cup plain),meal/grain,130,2.5,28.0,1.0,1.0,0.5,300,0,breakfast,0,medium,43.4,Congee (1 cangkir plain)
Pickled Radish (1/4 cup),vegetable,15,0.5,3.0,0.0,1.0,2.0,250,0,breakfast,0,low,40.2,Pickled Radish (1/4 cangkir)
Pork Floss (1 tbsp),protein/meat,50,4.0,3.0,2.0,0.0,2.5,150,10,breakfast,0,low,42.8,daging babi Floss (1 tbsp)
Century Egg (1 egg),protein,100,7.0,1.0,7.0,0.0,0.5,300,200,breakfast,0,medium,35.8,Century telur (1 telur)
Arugula (2 cups),vegetable,10,1.0,0.8,0.2,0.4,0.4,6,0,lunch,0,low,45.1,Arugula (2 cups)
Goat Cheese (1 oz),dairy,103,6.1,0.1,8.5,0.0,0.1,146,22,lunch,0,medium,47.4,Goat keju (1 oz)
Beets (1/2 cup roasted),vegetable,30,0.8,6.8,0.1,1.4,5.8,50,0,lunch,0,low,43.8,Beets (1/2 cangkir panggang)
Walnuts (1 tbsp chopped),nut,46,1.1,1.0,4.6,0.5,0.2,0,0,lunch,0,low,46.0,kacang kenari (1 tbsp chopped)
Balsamic Glaze (1 tbsp),condiment,40,0.0,9.0,0.0,0.0,8.0,10,0,lunch,0,low,35.9,Balsamic Glaze (1 tbsp)
Bobotie (1 serving),meal/meat,450,25.0,30.0,25.0,5.0,15.0,700,150,dinner,0,high,67.2,Bobotie (1 porsi)
Yellow Rice (1 cup),grain,230,4.0,50.0,1.0,2.0,1.0,300,0,dinner,0,medium,49.5,Yellow nasi (1 cangkir)
Chutney (Mango 1 tbsp),condiment,45,0.1,11.0,0.1,0.5,10.0,180,0,dinner,0,low,32.8,Chutney (mangga 1 tbsp)
Malva Pudding (1 slice),dessert,380,5.0,60.0,14.0,2.0,40.0,350,60,snack,0,high,16.3,Malva Pudding (1 iris)
Custard (1/4 cup),condiment,80,3.0,10.0,3.0,0.0,8.0,40,40,snack,0,low,37.8,Custard (1/4 cangkir)
Bubble Tea (16 oz milk tea),beverage,320,2.0,70.0,4.0,1.0,60.0,100,10,snack,473,high,0.0,Bubble teh (16 oz susu teh)
Tapioca Pearls (1/4 cup boba),condiment,100,0.0,25.0,0.0,0.0,20.0,5,0,snack,0,medium,26.6,Tapioca Pearls (1/4 cangkir boba)
Paella (1.5 cups seafood),meal/rice,550,30.0,70.0,18.0,6.0,5.0,1200,110,dinner,0,very_high,78.0,Paella (1.5 cups seafood)
Chorizo (1 oz in paella),protein/meat,130,6.0,1.0,11.0,0.0,0.5,350,30,dinner,0,medium,42.0,Chorizo (1 oz in paella)
Saffron (pinch),condiment,1,0.0,0.1,0.0,0.0,0.0,0,0,dinner,0,low,42.3,Saffron (pinch)
Aioli (Garlic 1 tbsp),condiment,95,0.1,0.5,10.5,0.0,0.1,70,5,dinner,0,low,40.6,Aioli (Garlic 1 tbsp)
Gazpacho (1 cup),meal/soup,90,2.0,12.0,4.0,3.0,7.0,600,0,lunch,240,low,39.2,Gazpacho (1 cangkir)
Croutons (Garlic 1/4 cup),grain,50,1.5,7.0,2.0,0.5,0.5,140,0,lunch,0,low,43.3,Croutons (Garlic 1/4 cangkir)
Olive Oil (1 tsp garnish),condiment,40,0.0,0.0,4.5,0.0,0.0,0,0,lunch,0,low,42.3,Olive Oil (1 tsp garnish)
Churros (2 sticks),dessert,240,3.0,30.0,12.0,1.5,10.0,200,20,snack,0,medium,40.0,Churros (2 sticks)
Chocolate Sauce (1 tbsp dipping),condiment,50,0.5,10.0,1.5,1.0,8.0,5,0,snack,0,low,40.9,Chocolate Sauce (1 tbsp dipping)
Cinnamon Sugar (1 tsp),condiment,20,0.0,5.0,0.0,0.0,5.0,0,0,snack,0,low,38.4,Cinnamon Sugar (1 tsp)
Horchata (1 cup),beverage,140,2.0,25.0,3.0,1.0,22.0,30,5,snack,240,medium,31.5,Horchata (1 cangkir)
Ceviche (1 cup fish),meal/fish,180,25.0,15.0,2.0,3.0,4.0,700,45,lunch,0,medium,72.9,Ceviche (1 cangkir ikan)
Red Onion (1/4 cup in ceviche),vegetable,16,0.3,3.7,0.0,0.4,1.8,1,0,lunch,0,low,43.0,Red Onion (1/4 cangkir in ceviche)
Cilantro (2 tbsp garnish),condiment,1,0.1,0.0,0.0,0.1,0.0,0,0,lunch,0,low,42.9,Cilantro (2 tbsp garnish)
Corn Nuts (1 oz),snack/processed,130,2.0,23.0,4.0,2.0,0.0,180,0,snack,0,medium,49.8,Corn Nuts (1 oz)
Lomo Saltado (1.5 cups),meal/meat,500,35.0,45.0,22.0,5.0,6.0,1100,90,dinner,0,very_high,84.1,Lomo Saltado (1.5 cups)
French Fries (as side),vegetable/processed,200,2.0,25.0,10.0,2.0,0.2,130,0,dinner,0,medium,50.8,French Fries (as side)
Soy Sauce (1 tbsp in stir-fry),condiment,9,1.0,1.0,0.0,0.1,0.4,920,0,dinner,0,low,23.5,Soy Sauce (1 tbsp in stir-fry)
Aji Amarillo Paste (1 tsp),condiment,5,0.1,1.0,0.0,0.5,0.5,50,0,dinner,0,low,43.1,Aji Amarillo Paste (1 tsp)
Pisco Sour (1 drink),beverage,250,1.0,25.0,0.0,0.0,24.0,5,5,snack,180,medium,24.8,Pisco Sour (1 drink)
Egg White (in drink),condiment,17,3.6,0.2,0.0,0.0,0.2,55,0,snack,0,low,46.6,telur White (in drink)
Angostura Bitters (dash),condiment,5,0.0,0.0,0.0,0.0,0.0,0,0,snack,0,low,42.3,Angostura Bitters (dash)
Alfajores (1 cookie),dessert,180,2.0,22.0,10.0,1.0,15.0,60,20,snack,0,medium,35.5,Alfajores (1 cookie)
Dulce de Leche (1 tbsp filling),condiment,65,1.0,12.0,1.5,0.0,10.0,30,5,snack,0,low,35.2,Dulce de Leche (1 tbsp filling)
Coconut (shredded garnish),fruit,10,0.1,0.5,1.0,0.2,0.1,0,0,snack,0,low,43.2,Coconut (shredded garnish)
Mate (1 cup),beverage,5,0.2,1.0,0.0,0.0,0.0,2,0,breakfast,240,low,42.6,Mate (1 cangkir)
Media Luna (1 pastry),grain,190,4.0,25.0,8.0,1.0,9.0,150,25,breakfast,0,medium,41.1,Media Luna (1 pastry)
Chimichurri (1 tbsp),condiment,45,0.1,0.5,4.5,0.2,0.1,100,0,dinner,0,low,41.0,Chimichurri (1 tbsp)
Skirt Steak (4oz grilled),protein/meat,240,26.0,0.0,15.0,0.0,0.0,70,80,dinner,0,medium,77.3,Skirt Steak (4oz panggang)
Provoleta (1 oz grilled cheese),dairy,100,7.0,1.0,8.0,0.0,0.5,250,20,dinner,0,medium,46.3,Provoleta (1 oz panggang keju)
Oregano (1 tsp),condiment,3,0.1,0.7,0.0,0.2,0.0,0,0,dinner,0,low,43.3,Oregano (1 tsp)
Empanada (Beef 1 medium),meal/processed,290,10.0,28.0,16.0,3.0,3.0,550,30,lunch,0,medium,54.4,Empanada (daging sapi 1 sedang)
Chicken Milanesa (1 serving),meal/meat,450,35.0,30.0,22.0,3.0,2.0,700,100,dinner,0,high,87.3,ayam Milanesa (1 porsi)
Mashed Potatoes (side),vegetable,150,3.0,25.0,4.0,2.0,2.0,300,10,dinner,0,medium,46.6,Mashed Potatoes (side)
Choripan (1 sandwich),meal/processed,550,20.0,40.0,35.0,3.0,4.0,1100,80,lunch,250,very_high,54.4,Choripan (1 sandwich)
Baguette (slice),grain,70,2.5,14.0,0.5,0.6,0.5,150,0,lunch,0,low,45.0,Baguette (iris)
Pizza (Margherita 1 slice),meal/processed,250,12.0,30.0,10.0,3.0,4.0,600,25,dinner,250,medium,55.9,pizza (Margherita 1 iris)
Fresh Mozzarella (1 oz),dairy,72,5.0,0.8,5.0,0.0,0.3,138,22,dinner,0,low,45.7,segar Mozzarella (1 oz)
Basil (2 tbsp fresh),condiment,1,0.1,0.1,0.0,0.1,0.0,0,0,dinner,0,low,42.9,Basil (2 tbsp segar)
Carbonara (1.5 cups),meal/pasta,650,25.0,60.0,35.0,4.0,4.0,900,250,dinner,0,very_high,62.0,Carbonara (1.5 cups)
Guanciale (1 oz),protein/meat,170,3.0,0.0,18.0,0.0,0.0,450,35,dinner,0,medium,35.2,Guanciale (1 oz)
Pecorino Cheese (1 tbsp),dairy,25,1.5,0.1,2.0,0.0,0.0,110,6,dinner,0,low,41.9,Pecorino keju (1 tbsp)
Black Pepper (1/4 tsp),condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,dinner,0,low,42.8,hitam Pepper (1/4 tsp)
Egg Yolk (1 large in sauce),protein,55,2.7,0.6,4.5,0.0,0.3,8,184,dinner,0,low,36.6,telur Yolk (1 besar in sauce)
Supplì (1 piece fried rice ball),snack/processed,200,8.0,25.0,8.0,2.0,2.0,400,25,snack,0,medium,51.5,Supplì (1 piece nasi goreng ball)
Aperol Spritz (1 drink),beverage,180,0.0,20.0,0.0,0.0,20.0,10,0,snack,150,medium,26.5,Aperol Spritz (1 drink)
Prosecco (3 oz),beverage,70,0.0,2.0,0.0,0.0,1.5,5,0,snack,0,low,41.0,Prosecco (3 oz)
Orange Slice (garnish),fruit,5,0.1,1.0,0.0,0.2,0.8,0,0,snack,0,low,42.7,jeruk iris (garnish)
Tagliatelle al Ragù (Bolognese),meal/pasta,550,28.0,65.0,20.0,7.0,8.0,850,70,dinner,500,very_high,86.6,Tagliatelle al Ragù (Bolognese)
Ground Beef (2 oz in sauce),protein/meat,140,11.0,0.0,10.0,0.0,0.0,40,35,dinner,0,medium,56.8,Ground daging sapi (2 oz in sauce)
Pancetta (0.5 oz in sauce),protein/meat,45,1.5,0.0,4.5,0.0,0.0,160,10,dinner,0,low,40.6,Pancetta (0.5 oz in sauce)
Carrot (1/4 minced in sauce),vegetable,10,0.2,2.4,0.1,0.7,1.2,17,0,dinner,0,low,44.3,wortel (1/4 minced in sauce)
Celery (1/4 stalk minced),vegetable,2,0.1,0.4,0.0,0.2,0.2,12,0,dinner,0,low,42.9,Celery (1/4 stalk minced)
Onion (1/8 minced in sauce),vegetable,5,0.1,1.2,0.0,0.2,0.6,1,0,dinner,0,low,42.8,Onion (1/8 minced in sauce)
Crushed Tomatoes (1/2 cup sauce),vegetable,20,1.0,4.0,0.0,1.5,3.0,200,0,dinner,0,low,43.4,Crushed Tomatoes (1/2 cangkir sauce)
Parmigiano-Reggiano (1 tbsp),dairy,22,2.0,0.2,1.5,0.0,0.0,95,4,dinner,0,low,43.1,Parmigiano-Reggiano (1 tbsp)
Cannoli (1 medium),dessert,240,5.0,25.0,13.0,1.0,18.0,100,30,snack,0,medium,36.5,Cannoli (1 sedang)
Ricotta (filling 1 oz),dairy,49,3.2,0.8,3.8,0.0,0.1,23,14,snack,0,low,46.0,Ricotta (filling 1 oz)
Pistachio (garnish),nut,10,0.4,0.5,0.8,0.2,0.1,0,0,snack,0,low,43.7,Pistachio (garnish)
Biscotti (1 cookie),dessert,110,2.0,18.0,4.0,1.0,9.0,50,15,snack,0,medium,40.7,Biscotti (1 cookie)
Espresso (for dipping),beverage,2,0.2,0.0,0.0,0.0,0.0,1,0,snack,30,low,42.6,Espresso (for dipping)
Focaccia (1 square),grain,250,8.0,40.0,7.0,2.0,2.0,500,0,lunch,0,medium,50.5,Focaccia (1 square)
Rosemary (1 tsp topping),condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,lunch,0,low,42.8,Rosemary (1 tsp topping)
Olive Oil (1 tbsp drizzle),condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,lunch,0,medium,42.3,Olive Oil (1 tbsp drizzle)
Bruschetta (2 pcs),snack/appetizer,180,4.0,25.0,7.0,3.0,4.0,350,0,snack,0,medium,50.2,Bruschetta (2 pcs)
Balsamic Glaze (1 tsp),condiment,13,0.0,3.0,0.0,0.0,2.7,3,0,snack,0,low,40.2,Balsamic Glaze (1 tsp)
Ribollita (1.5 cups soup),meal/soup,350,15.0,55.0,8.0,14.0,10.0,900,5,dinner,500,high,96.3,Ribollita (1.5 cups sup)
Cannellini Beans (1/2 cup in soup),legume,105,7.0,20.0,0.5,6.0,1.0,230,0,dinner,0,medium,72.5,Cannellini kacang (1/2 cangkir in sup)
Kale (1 cup in soup),vegetable,33,2.9,6.0,0.6,2.0,1.0,29,0,dinner,0,low,53.8,Kale (1 cangkir in sup)
Stale Bread (1/2 cup in soup),grain,80,3.0,15.0,1.0,1.0,1.5,160,0,dinner,0,low,46.5,Stale roti (1/2 cangkir in sup)
Polenta (1 cup creamy),meal/grain,150,3.0,32.0,1.0,3.0,1.0,350,5,dinner,0,medium,50.8,Polenta (1 cangkir creamy)
Gorgonzola Cheese (1 oz),dairy,100,6.0,0.7,8.0,0.0,0.1,325,21,dinner,0,medium,43.3,Gorgonzola keju (1 oz)
Negroni (1 drink),beverage,190,0.0,15.0,0.0,0.0,15.0,5,0,snack,90,medium,30.5,Negroni (1 drink)
Gin (1 oz),beverage,70,0.0,0.0,0.0,0.0,0.0,0,0,snack,0,low,42.3,Gin (1 oz)
Campari (1 oz),beverage,80,0.0,10.0,0.0,0.0,10.0,5,0,snack,0,low,34.4,Campari (1 oz)
Sweet Vermouth (1 oz),beverage,40,0.0,5.0,0.0,0.0,5.0,0,0,snack,0,low,38.4,Sweet Vermouth (1 oz)
Orange Peel (garnish),condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,snack,0,low,42.8,jeruk Peel (garnish)
Osso Buco (1 serving),meal/meat,550,45.0,15.0,30.0,4.0,6.0,900,150,dinner,0,very_high,96.9,Osso Buco (1 porsi)
Gremolata (1 tbsp),condiment,15,0.5,1.0,1.0,0.5,0.5,5,0,dinner,0,low,44.7,Gremolata (1 tbsp)
Risotto alla Milanese (1 cup),meal/rice,350,10.0,50.0,12.0,3.0,3.0,700,30,dinner,0,high,51.0,Risotto alla Milanese (1 cangkir)
Saffron (pinch in risotto),condiment,1,0.0,0.1,0.0,0.0,0.0,0,0,dinner,0,low,42.3,Saffron (pinch in risotto)
Panettone (1 slice),dessert,320,6.0,50.0,12.0,3.0,25.0,200,70,snack,0,high,36.6,Panettone (1 iris)
Candied Fruit (1 tbsp),fruit,30,0.0,8.0,0.0,0.5,8.0,5,0,snack,0,low,38.1,Candied Fruit (1 tbsp)
Amaretti Cookie (2 cookies),dessert,90,2.0,12.0,4.0,1.0,10.0,10,0,snack,0,low,41.6,Amaretti Cookie (2 cookies)
Limoncello (1.5 oz shot),beverage,150,0.0,18.0,0.0,0.0,18.0,0,0,snack,0,medium,28.3,Limoncello (1.5 oz shot)
Panna Cotta (1 serving),dessert,300,4.0,25.0,20.0,0.0,22.0,50,70,snack,0,high,26.6,Panna Cotta (1 porsi)
Berry Coulis (1 tbsp),condiment,20,0.0,5.0,0.0,0.5,4.5,0,0,snack,0,low,40.9,Berry Coulis (1 tbsp)
Saltimbocca (1 serving),meal/meat,380,38.0,5.0,22.0,0.5,1.0,850,120,dinner,0,high,77.9,Saltimbocca (1 porsi)
Prosciutto (1 slice wrapper),protein/meat,35,4.0,0.0,2.5,0.0,0.0,280,10,dinner,0,low,41.8,Prosciutto (1 iris wrapper)
Sage (2 leaves),condiment,1,0.0,0.1,0.0,0.1,0.0,0,0,dinner,0,low,42.8,Sage (2 leaves)
Polenta (grilled 1 slice),meal/grain,120,2.5,25.0,1.0,2.0,0.5,300,0,dinner,0,medium,47.5,Polenta (panggang 1 iris)
Caponata (1/2 cup),meal/vegetable,180,2.0,15.0,14.0,5.0,9.0,400,0,dinner,0,medium,50.4,Caponata (1/2 cangkir)
Eggplant (1/2 cup in caponata),vegetable,40,0.5,6.0,2.0,2.0,3.0,150,0,dinner,0,low,45.8,Eggplant (1/2 cangkir in caponata)
Pine Nuts (1/2 tbsp),nut,48,1.0,1.0,5.0,0.2,0.2,0,0,dinner,0,low,44.6,Pine Nuts (1/2 tbsp)
Raisins (1 tbsp),fruit,27,0.3,7.0,0.0,0.3,6.0,1,0,dinner,0,low,39.4,Raisins (1 tbsp)
Gelato (Pistachio 1/2 cup),dessert,220,5.0,24.0,12.0,2.0,20.0,60,40,snack,0,medium,39.5,Gelato (Pistachio 1/2 cangkir)
Waffle Cone (1 small),grain,70,1.0,13.0,1.5,0.5,7.0,30,5,snack,0,low,39.6,Waffle Cone (1 kecil)
Cacio e Pepe (1.5 cups),meal/pasta,500,18.0,65.0,19.0,4.0,3.0,700,50,dinner,0,very_high,66.7,Cacio e Pepe (1.5 cups)
Pecorino Romano (1/4 cup),dairy,110,7.5,1.0,8.5,0.0,0.0,450,25,dinner,0,medium,42.7,Pecorino Romano (1/4 cangkir)
Black Pepper (1/2 tsp),condiment,3,0.1,0.7,0.0,0.3,0.0,0,0,dinner,0,low,43.7,hitam Pepper (1/2 tsp)
Fiorentina Steak (3oz portion),protein/meat,230,24.0,0.0,15.0,0.0,0.0,60,75,dinner,0,medium,74.6,Fiorentina Steak (3oz portion)
Rosemary (garnish),condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,dinner,0,low,42.8,Rosemary (garnish)
White Beans (Tuscan style 1/2 cup),legume,150,8.0,20.0,4.0,7.0,2.0,350,0,dinner,0,medium,74.8,White kacang (Tuscan style 1/2 cangkir)
Garlic (1 clove in beans),vegetable,4,0.2,0.9,0.0,0.1,0.0,1,0,dinner,0,low,43.0,Garlic (1 clove in kacang)
Sage (in beans),condiment,1,0.0,0.1,0.0,0.1,0.0,0,0,dinner,0,low,42.8,Sage (in kacang)
Arancini (1 large ball),snack/processed,250,9.0,30.0,10.0,3.0,3.0,500,30,snack,0,medium,53.9,Arancini (1 besar ball)
Ragù (filling 1 tbsp),condiment,25,1.5,1.0,1.5,0.5,0.5,60,5,snack,0,low,44.8,Ragù (filling 1 tbsp)
Mozzarella (filling 0.5 oz),dairy,40,3.0,0.5,3.0,0.0,0.2,75,10,snack,0,low,44.7,Mozzarella (filling 0.5 oz)
Breadcrumbs (coating),grain,25,0.5,4.0,0.5,0.5,0.5,50,0,snack,0,low,43.7,Breadcrumbs (coating)
Campari & Soda (1 drink),beverage,85,0.0,10.0,0.0,0.0,10.0,25,0,snack,150,low,34.0,Campari & Soda (1 drink)
Olive (garnish),fruit,5,0.0,0.1,0.5,0.1,0.0,30,0,snack,0,low,42.1,Olive (garnish)
Vitello Tonnato (1 serving),meal/meat,380,35.0,3.0,25.0,0.5,1.0,600,110,lunch,0,high,79.3,Vitello Tonnato (1 porsi)
Tuna Sauce (2 tbsp),condiment,100,4.0,1.0,9.0,0.0,0.5,200,15,lunch,0,medium,43.0,tuna Sauce (2 tbsp)
Capers (garnish),condiment,2,0.2,0.4,0.1,0.3,0.1,200,0,lunch,0,low,39.4,Capers (garnish)
Lemon Slice (garnish),condiment,1,0.0,0.3,0.0,0.1,0.1,0,0,lunch,0,low,42.7,Lemon iris (garnish)
Gnocchi alla Sorrentina (1.5 cups),meal/pasta,450,15.0,60.0,18.0,6.0,9.0,800,40,dinner,0,high,64.0,Gnocchi alla Sorrentina (1.5 cups)
Tomato Sauce (1/2 cup),condiment,40,1.5,7.0,1.0,2.0,4.0,350,0,dinner,0,low,42.1,tomat Sauce (1/2 cangkir)
Mozzarella (1 oz melted),dairy,80,6.0,1.0,6.0,0.0,0.5,150,20,dinner,0,low,46.9,Mozzarella (1 oz melted)
Basil (fresh garnish),condiment,1,0.1,0.0,0.0,0.1,0.0,0,0,dinner,0,low,42.9,Basil (segar garnish)
Pesto (1/4 cup),condiment,290,5.0,4.0,29.0,2.0,1.0,600,5,dinner,0,medium,44.1,Pesto (1/4 cangkir)
Pine Nuts (1 tbsp in pesto),nut,95,2.0,2.0,10.0,0.5,0.5,0,0,dinner,0,low,47.2,Pine Nuts (1 tbsp in pesto)
Garlic (1/2 clove in pesto),vegetable,2,0.1,0.5,0.0,0.0,0.0,0,0,dinner,0,low,42.5,Garlic (1/2 clove in pesto)
Trofie Pasta (1 cup cooked),grain,210,7.0,43.0,1.0,2.0,1.0,5,0,dinner,0,medium,60.8,Trofie pasta (1 cangkir matang)
Green Beans (1/2 cup w/ pasta),vegetable,15,0.9,3.5,0.1,1.3,1.6,3,0,dinner,0,low,47.9,Green kacang (1/2 cangkir w/ pasta)
Potato (1/2 w/ pasta),vegetable,65,1.0,15.0,0.1,1.0,0.5,3,0,dinner,0,low,47.6,kentang (1/2 w/ pasta)
Espresso Martini (1 drink),beverage,280,0.5,25.0,0.0,0.0,25.0,5,0,snack,120,medium,23.5,Espresso Martini (1 drink)
Vodka (1.5 oz),beverage,97,0.0,0.0,0.0,0.0,0.0,0,0,snack,0,low,42.3,Vodka (1.5 oz)
Coffee Liqueur (1 oz),beverage,100,0.0,15.0,0.0,0.0,15.0,2,0,snack,0,medium,30.6,kopi Liqueur (1 oz)
Espresso (1 oz in drink),beverage,3,0.3,0.0,0.1,0.0,0.0,1,0,snack,0,low,42.8,Espresso (1 oz in drink)
Simple Syrup (1/2 oz),condiment,30,0.0,8.0,0.0,0.0,8.0,0,0,snack,0,low,36.1,Simple Syrup (1/2 oz)
Coffee Beans (3 garnish),snack,2,0.1,0.3,0.0,0.1,0.0,0,0,snack,0,low,42.9,kopi kacang (3 garnish)
Baba Ganoush (1/4 cup),meal/vegetable,100,2.0,8.0,7.0,4.0,2.0,300,0,snack,0,medium,54.0,Baba Ganoush (1/4 cangkir)
Pita Bread (1 white),grain,165,5.5,33.0,1.2,1.5,1.5,310,0,snack,0,medium,49.1,Pita roti (1 white)
Falafel (3 pieces),meal/vegetarian,180,6.0,18.0,9.0,4.0,1.0,320,0,lunch,0,medium,60.6,Falafel (3 pieces)
Tahini Sauce (1 tbsp),condiment,30,1.0,1.5,2.5,0.5,0.0,45,0,lunch,0,low,45.0,Tahini Sauce (1 tbsp)
Pickled Turnips (2 tbsp),vegetable,10,0.2,2.0,0.0,0.5,1.0,200,0,lunch,0,low,39.5,Pickled Turnips (2 tbsp)
Shawarma (Chicken 1 wrap),meal/processed,550,30.0,50.0,25.0,6.0,5.0,1100,80,lunch,250,very_high,81.8,Shawarma (ayam 1 wrap)
Garlic Sauce (1 tbsp),condiment,90,0.1,1.0,10.0,0.0,0.5,80,5,lunch,0,low,40.1,Garlic Sauce (1 tbsp)
Hummus (1/4 cup),legume,130,5.0,10.0,8.0,4.0,1.0,250,0,lunch,0,medium,60.6,Hummus (1/4 cangkir)
Tabouli (1/2 cup),meal/vegetarian,120,3.0,15.0,6.0,4.0,2.0,300,0,lunch,0,medium,55.5,Tabouli (1/2 cangkir)
Bulgur (1/4 cup in tabouli),grain,76,2.7,16.8,0.2,4.1,0.1,4,0,lunch,0,low,63.6,Bulgur (1/4 cangkir in tabouli)
Parsley (1/4 cup in tabouli),vegetable,5,0.3,1.0,0.1,0.5,0.1,5,0,lunch,0,low,44.7,Parsley (1/4 cangkir in tabouli)
Mint (1 tbsp in tabouli),condiment,1,0.1,0.1,0.0,0.1,0.0,0,0,lunch,0,low,42.9,Mint (1 tbsp in tabouli)
Lemon Juice (1 tbsp dressing),condiment,4,0.1,1.3,0.0,0.1,0.2,0,0,lunch,0,low,42.8,Lemon Juice (1 tbsp dressing)
Olive Oil (1 tbsp dressing),condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,lunch,0,medium,42.3,Olive Oil (1 tbsp dressing)
Kibbeh (1 piece fried),meal/meat,230,9.0,20.0,13.0,3.0,1.0,450,30,snack,0,medium,56.6,Kibbeh (1 piece goreng)
Pine Nuts (1/2 tbsp filling),nut,48,1.0,1.0,5.0,0.2,0.2,0,0,snack,0,low,44.6,Pine Nuts (1/2 tbsp filling)
Ground Lamb (1 oz filling),protein/meat,80,5.5,0.0,6.0,0.0,0.0,20,20,snack,0,low,49.4,Ground Lamb (1 oz filling)
Bulgur (1 tbsp shell),grain,15,0.5,3.4,0.0,0.8,0.0,1,0,snack,0,low,46.4,Bulgur (1 tbsp shell)
Lentil Soup (1 cup Middle Eastern),meal/legume,200,10.0,30.0,5.0,10.0,4.0,700,0,lunch,250,medium,81.1,Lentil sup (1 cangkir Middle Eastern)
Cumin (1 tsp),condiment,8,0.3,1.5,0.5,0.4,0.1,3,0,lunch,0,low,44.3,Cumin (1 tsp)
Coriander (1 tsp),condiment,5,0.1,1.0,0.2,0.5,0.0,1,0,lunch,0,low,44.6,Coriander (1 tsp)
Lemon Juice (1 tsp in soup),condiment,1,0.0,0.4,0.0,0.0,0.1,0,0,lunch,0,low,42.3,Lemon Juice (1 tsp in sup)
Pita Crisps (1 oz),snack/processed,130,3.0,18.0,5.0,2.0,1.0,240,0,lunch,0,medium,49.3,Pita Crisps (1 oz)
Manakeesh (Za'atar 1 small),meal/vegetarian,300,7.0,45.0,10.0,4.0,2.0,500,0,breakfast,0,high,57.3,Manakeesh (Za'atar 1 kecil)
Za'atar (1 tbsp),condiment,40,1.0,3.0,3.0,1.5,0.0,150,0,breakfast,0,low,46.8,Za'atar (1 tbsp)
Olive Oil (1 tbsp on bread),condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,breakfast,0,medium,42.3,Olive Oil (1 tbsp on roti)
Labneh (2 tbsp),dairy,60,4.0,2.0,4.0,0.0,2.0,80,15,breakfast,0,low,44.5,Labneh (2 tbsp)
Cucumber (1/4 cup side),vegetable,8,0.3,1.8,0.0,0.2,0.8,1,0,breakfast,0,low,43.0,mentimun (1/4 cangkir side)
Tomato (1/4 cup side),vegetable,8,0.3,1.8,0.1,0.5,1.2,2,0,breakfast,0,low,43.9,tomat (1/4 cangkir side)
Olives (5 side),fruit,35,0.2,1.0,3.5,0.5,0.0,210,0,breakfast,0,low,40.1,Olives (5 side)
Mint Tea (1 cup),beverage,2,0.1,0.5,0.0,0.0,0.0,5,0,breakfast,240,low,42.4,Mint teh (1 cangkir)
Stuffed Grape Leaves (3 pcs),meal/vegetarian,150,3.0,20.0,7.0,3.0,3.0,400,0,snack,0,medium,48.3,Stuffed Grape Leaves (3 pcs)
Rice (1/4 cup filling),grain,51,1.1,11.1,0.1,0.1,0.0,0,0,snack,0,low,44.5,nasi (1/4 cangkir filling)
Turkish Coffee (1 small cup),beverage,5,0.2,0.5,0.0,0.0,0.0,1,0,snack,60,low,42.6,Turkish kopi (1 kecil cangkir)
Cardamom (in coffee),condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,snack,0,low,42.8,Cardamom (in kopi)
Shish Tawook (2 skewers),meal/meat,300,35.0,5.0,16.0,1.0,2.0,600,100,dinner,0,high,81.1,Shish Tawook (2 skewers)
Garlic Sauce (Toum 1 tbsp),condiment,90,0.1,1.0,10.0,0.0,0.5,80,5,dinner,0,low,40.1,Garlic Sauce (Toum 1 tbsp)
French Fries (side),vegetable/processed,340,4.0,44.0,17.0,4.0,0.3,230,0,dinner,0,high,60.0,French Fries (side)
Pickled Cucumber (1/4 cup),vegetable,10,0.5,2.0,0.0,1.0,1.0,300,0,dinner,0,low,39.8,Pickled mentimun (1/4 cangkir)
Fattoush Salad (1.5 cups),meal/vegetarian,250,5.0,25.0,15.0,6.0,5.0,500,0,lunch,0,medium,60.2,Fattoush salad (1.5 cups)
